MinimizeOrder,Conformation,Score,LowerBound,Corrected,FinalEnergy,OldConfLower,OldConfUpper,SubtreeLower,SubtreeUpper,ErrorBound,BoltzmannWeight,PercentContribution,ContributionRank
36,7     9     5     7     9     7     1     20,-88.180201,-89.254721,-88.180201,-87.227926,-88.180201,-86.930919,4.571679e+63,3.757796e+64,3.300628e+64,3.468158e+63,0.114794,33
37,7     9     5     7     9     7     5     13,-88.042775,-88.832821,-87.864154,-86.966363,-88.042775,-62.899256,1.152214e+46,2.980543e+64,2.980543e+64,2.236488e+63,0.074027,36
38,7     9     1     7     9     7     0     19,-88.104535,-89.280683,-88.104535,-86.885833,-88.104535,-83.194119,8.386734e+60,3.307671e+64,3.306832e+64,1.953914e+63,0.064673,37
39,7     9     5     7     9     7     4     27,-87.978576,-88.934716,-87.978576,-87.047864,-87.978576,-86.499143,2.207412e+63,2.674743e+64,2.454002e+64,2.564100e+63,0.084870,35
40,7     9     1     7     9     7     8     19,-87.966821,-89.214100,-87.966821,-86.882220,-87.966821,-84.344536,5.835129e+61,2.622247e+64,2.616412e+64,1.942109e+63,0.064283,38
41,7     9     5     7     9     7     7     13,-87.860755,-88.650801,-87.622315,-86.670078,-87.860755,-62.488851,5.767542e+45,2.192809e+64,2.192809e+64,1.360634e+63,0.045036,47
42,7     9     5     7     9     7     8     10,-87.961270,-89.004090,-87.961270,-86.808119,-87.961270,-85.860288,7.517024e+62,2.597818e+64,2.522648e+64,1.715124e+63,0.056770,41
43,7     9     1     7     9     7     1     11,-87.790517,-89.069497,-87.790517,-86.771495,-87.790517,-84.610392,9.135635e+61,1.947892e+64,1.938756e+64,1.612937e+63,0.053387,44
44,7     9     1     7     9     7     1     19,-87.756797,-89.035777,-87.756797,-86.793477,-87.756797,-84.262501,5.081313e+61,1.840229e+64,1.835147e+64,1.673516e+63,0.055392,42
45,7     9     5     7     9     5     8     13,-87.708227,-88.508619,-87.452941,-86.370868,-87.708227,-59.860612,6.859849e+43,1.695522e+64,1.695522e+64,8.237313e+62,0.027265,57
46,7     9     5     7     9     5     0     13,-87.735019,-88.539121,-87.218747,-86.352963,-87.735019,-58.677039,9.323435e+42,1.773876e+64,1.773876e+64,7.993609e+62,0.026458,60
47,7     9     5     7     9     7     0     10,-87.636865,-88.955521,-87.636865,-86.686000,-87.636865,-84.580907,8.692537e+61,1.503296e+64,1.494604e+64,1.397461e+63,0.046255,46
48,7     9     5     7     9     7     5     27,-87.751596,-88.720263,-87.751596,-86.829448,-87.751596,-86.270496,1.501219e+63,1.824160e+64,1.674038e+64,1.777594e+63,0.058837,40
49,7     9     5     7     9     7     1     10,-87.725797,-88.800317,-87.725797,-86.721492,-87.725797,-85.754183,6.285563e+62,1.746506e+64,1.683651e+64,1.483178e+63,0.049092,45
50,7     9     5     7     9     7     8     21,-87.623353,-88.666173,-87.623353,-86.542305,-87.623353,-84.382741,6.223407e+61,1.469433e+64,1.463210e+64,1.098163e+63,0.036349,51
51,7     9     5     7     9     7     4     17,-87.475276,-88.431416,-87.475276,-86.581916,-87.475276,-52.673626,3.743155e+38,1.144754e+64,1.144754e+64,1.173602e+63,0.038846,48
52,7     9     5     7     9     7     7     27,-87.514209,-88.542694,-87.514209,-86.537384,-87.514209,-85.864702,7.573174e+62,1.222427e+64,1.146695e+64,1.089136e+63,0.036050,52
53,7     9     5     7     9     4     0     13,-87.517288,-88.321390,-87.197644,-86.474101,-87.517288,-59.750689,5.699239e+43,1.228790e+64,1.228790e+64,9.794548e+62,0.032419,53
54,7     9     5     7     9     4     8     13,-87.552781,-88.353174,-87.253715,-86.547310,-87.552781,-60.973799,4.482374e+44,1.304577e+64,1.304577e+64,1.107421e+63,0.036655,50
55,7     9     5     7     9     7     8     18,-87.410712,-88.453531,-87.410712,-86.345688,-87.410712,-84.834511,1.333099e+62,1.026670e+64,1.013339e+64,7.896662e+62,0.026138,61
56,7     9     5     7     9     7     1     21,-87.417318,-88.491838,-87.417318,-86.454102,-87.417318,-84.303624,5.446160e+61,1.038171e+64,1.032725e+64,9.471448e+62,0.031350,55
57,7     9     5     7     9     7     6     13,-87.438895,-88.228941,-86.875802,-85.800275,-87.438895,-54.895362,1.585732e+40,1.076639e+64,1.076639e+64,3.163328e+62,0.010470,89
58,7     9     5     7     9     7     0     21,-87.430001,-88.748657,-87.430001,-86.578157,-87.430001,-83.250496,9.223126e+60,1.060613e+64,1.059691e+64,1.166226e+63,0.038601,49
59,7     9     5     7     9     7     8     7,-87.401025,-88.443844,-87.388565,-86.091066,-87.401025,-82.465787,2.456012e+60,1.010037e+64,1.009792e+64,5.151899e+62,0.017053,74
60,7     9     5     7     9     7     8     12,-87.424184,-88.467003,-87.424184,-86.245878,-87.424184,-85.594962,4.805580e+62,1.050260e+64,1.002204e+64,6.679411e+62,0.022108,66
61,7     9     2     7     9     7     0     13,-87.356004,-88.242017,-86.201655,-84.957427,-87.356004,-48.203219,1.993104e+35,9.361989e+63,9.361989e+63,7.694529e+61,0.002547,118
62,7     9     2     7     9     7     8     13,-87.382066,-88.195943,-86.084450,-84.978572,-87.382066,-49.375440,1.438649e+36,9.782584e+63,9.782584e+63,7.972323e+61,0.002639,117
63,7     9     5     7     9     4     1     13,-87.285675,-88.158543,-87.200978,-86.457244,-87.285675,-60.878514,3.817073e+44,8.315074e+63,8.315074e+63,9.521494e+62,0.031516,54
64,7     9     5     7     9     5     8     27,-87.333563,-88.389241,-87.333563,-86.223275,-87.333563,-83.214627,8.681829e+60,9.014359e+63,9.005677e+63,6.430923e+62,0.021286,67
65,7     9     5     7     9     5     1     13,-87.242520,-88.329899,-87.242520,-86.283802,-87.242520,-59.775213,5.939855e+43,7.731491e+63,7.731491e+63,7.118090e+62,0.023560,64
66,7     9     5     7     9     7     5     17,-87.252824,-88.221491,-87.252824,-86.364272,-87.252824,-52.445042,2.545920e+38,7.866995e+63,7.866995e+63,8.146683e+62,0.026965,58
67,7     9     5     7     9     7     0     12,-87.202547,-88.521203,-87.202547,-86.220858,-87.202547,-84.410843,6.525414e+61,7.227545e+63,7.162291e+63,6.404905e+62,0.021200,68
68,7     9     5     7     9     7     0     18,-87.209835,-88.528491,-87.209835,-86.354882,-87.209835,-83.692715,1.944097e+61,7.316906e+63,7.297465e+63,8.019380e+62,0.026544,59
69,7     9     5     7     9     7     1     18,-87.200709,-88.275229,-87.200709,-86.255672,-87.200709,-84.751968,1.159887e+62,7.205178e+63,7.089189e+63,6.790043e+62,0.022475,65
70,7     9     5     7     9     7     8     23,-87.214348,-88.257167,-87.214348,-86.099746,-87.214348,-85.497098,4.074550e+62,7.372799e+63,6.965344e+63,5.227453e+62,0.017303,73
71,7     9     5     7     9     5     1     27,-87.119096,-88.206474,-87.119096,-86.138270,-87.119096,-83.123940,7.450760e+60,6.278830e+63,6.271379e+63,5.576381e+62,0.018458,71
72,7     9     5     7     9     4     8     27,-87.137933,-88.237392,-87.137933,-86.400505,-87.137933,-84.330779,5.701331e+61,6.481471e+63,6.424458e+63,8.657137e+62,0.028655,56
73,7     9     5     7     9     7     1     7,-87.162858,-88.237378,-87.162858,-86.003593,-87.162858,-82.357536,2.046246e+60,6.759676e+63,6.757630e+63,4.448859e+62,0.014725,80
74,7     9     5     7     9     7     1     12,-87.211582,-88.286102,-87.211582,-86.162740,-87.211582,-85.509425,4.160126e+62,7.338493e+63,6.922481e+63,5.810016e+62,0.019231,70
75,7     9     5     7     9     4     1     27,-87.081150,-88.038714,-87.081150,-86.310437,-87.081150,-84.230207,4.812011e+61,5.889665e+63,5.841545e+63,7.443298e+62,0.024637,62
76,7     9     5     7     9     5     0     27,-87.091734,-88.412108,-87.091734,-86.164924,-87.091734,-82.013686,1.145920e+60,5.995724e+63,5.994578e+63,5.831338e+62,0.019301,69
77,7     9     5     7     9     4     0     27,-87.074227,-88.197973,-87.074227,-86.288241,-87.074227,-83.090302,7.039903e+60,5.821317e+63,5.814277e+63,7.171285e+62,0.023737,63
78,7     9     5     7     9     7     8     24,-87.058780,-88.101599,-87.058780,-85.890664,-87.058780,-83.899857,2.756825e+61,5.671644e+63,5.644076e+63,3.681179e+62,0.012185,83
79,7     9     5     7     9     7     0     7,-87.041479,-88.360135,-87.041479,-85.921424,-87.041479,-81.131597,2.589372e+59,5.508578e+63,5.508319e+63,3.876089e+62,0.012830,82
